Strain	N_Gene_tot	DNApol_III_a_sub	tRNA_synthetase	16rRNA	cellulase	Blactamase
Brevundimonas_sp._LM2_strain_LM2	3651	2	20	2	4	6
Acinetobacter_baumannii_1656-2	4008	1	21	2	4	5
Acidipropionibacterium_jensenii_strain_JS280	3046	2	21	0	0	7
Klebsiella_pneumoniae_strain_NFYY0065	5406	1	25	0	11	5
Natronorubrum_aibiense_strain_7-3	4889	0	21	5	7	4
Natronorubrum_bangense_strain_JCM_10635	4840	0	20	5	4	3
Salmonella_enterica_subsp._enterica_serovar_Enteritidis	4891	1	23	2	9	1
Bacillus_thuringiensis_strain_MYBT18246	8084	1	34	14	8	31
Nocardia_nova_SH22a	7974	2	22	1	8	6
Brucella_melitensis_strain_BwIM_TUR_17	3695	2	20	1	3	3
NA	1639	1	21	1	0	0
NA	1411	2	19	2	1	2
Francisella_guangzhouensis_08HL01032	1595	1	21	1	1	1
Bacillus_mycoides_strain_TH26	6997	2	33	14	10	33
Streptococcus_pyogenes_strain_MGAS8347	1956	1	23	0	2	1
Rickettsia_prowazekii_str._RpGvF24	949	1	20	1	0	2
Salmonella_enterica_subsp._enterica_serovar_Typhi_strain_Ty21a	5207	1	24	9	5	1
Staphylococcus_aureus_subsp._aureus_strain_ATCC_6538	2830	1	21	8	3	2
Corynebacterium_diphtheriae_strain_FRC0190	1437	6	7	2	4	0
Alteromonas_sp._SN2	4608	2	22	1	4	5
Lactobacillus_acidophilus_NCFM	1961	2	22	2	3	7
Klebsiella_pneumoniae_subsp._pneumoniae_1750	3523	1	22	2	3	1
Xanthomonas_oryzae_pv._oryzae_strain_CIX298	5471	2	23	2	14	4
Halioglobus_pacificus_strain_RR3-57	4834	2	22	4	9	3
Microcella_alkaliphila_strain_JAM_AC0309_strain_JAM-AC0309	2767	2	21	2	0	2
Actinoalloteichus_hoggarensis_strain_DSM_45943	7403	2	24	4	7	12
Pelolinea_submarina_strain_MO-CFX1	3373	1	21	1	3	5
Bifidobacterium_bifidum_ATCC_29521_=_JCM_1255_=_DSM_20456	1988	1	19	3	2	0
Listeria_monocytogenes_strain_CFSAN022990	3283	1	23	3	4	3
Bifidobacterium_animalis_strain_RH	1694	3	19	1	6	0
Helicobacter_pylori_strain_F78	1841	1	20	3	0	0
Lactobacillus_plantarum_strain_Y44	3450	1	24	0	5	5
Streptococcus_iniae_SF1	2222	1	23	3	2	2
Listeria_monocytogenes_strain_PNUSAL000144	3143	1	23	3	4	3
Propionibacterium_acnes_strain_A1-14	2432	2	21	1	2	2
Halothece_sp._PCC_7418	4172	2	21	1	10	3
Bordetella_pertussis_strain_VA-15	4455	3	22	1	7	1
Hydrogenobaculum_sp._HO	1722	1	21	1	1	1
Staphylococcus_aureus_strain_P1D12C1	3059	1	21	6	2	2
Herpetosiphon_aurantiacus_DSM_785	5513	2	24	1	18	11
Citrobacter_sp._LY-1	5503	1	23	0	5	5
Haemophilus_influenzae_strain_P669-6977	2212	1	28	2	1	0
Streptomyces_sp._ICC4	9457	3	27	2	18	22
Haemophilus_influenzae_strain_NCTC8143	1983	1	22	8	1	0
Eubacterium_limosum_KIST612	4327	1	22	1	4	6
Alteromonas_sp._RW2A1	4054	2	24	4	6	4
Serratia_sp._FS14	5055	1	24	2	11	10
Klebsiella_pneumoniae_strain_13190	6293	1	26	0	9	13
Enterobacter_cloacae_strain_MBRL1077	4673	1	23	2	7	6
Catenovulum_sp._CCB-QB4	5302	2	23	8	14	5
Cupriavidus_oxalaticus_strain_X32	8022	3	24	0	11	9
Spirochaetales_bacterium_Spiro_12	4606	3	24	10	5	2
Lactobacillus_delbrueckii_subsp._lactis_strain_Lactobacillus_delbrueckii_subsp._lactis1	2502	1	23	9	4	5
Salmonella_enterica_subsp._enterica_serovar_Paratyphi_A_CMCC_50503	4861	1	23	2	9	1
Marinilactibacillus_sp._15R	3039	1	23	2	4	0
Salmonella_enterica_subsp._enterica_strain_RM11065	5939	1	23	2	5	1
Tenacibaculum_sp._DSM_106434	3331	1	21	0	2	7
Staphylococcus_aureus_strain_UP_1186	2947	1	21	6	4	5
Staphylococcus_agnetis_strain_12B	2515	1	22	6	3	0
Mycobacterium_tuberculosis_ERR161077	1109	1	21	2	0	1
Xanthomonas_oryzae_pv._oryzae_strain_CFBP1952	5329	2	23	2	15	4
Bacillus_virus_Glittering	94	1	0	0	0	0
Mycoplasma_pneumoniae_strain_FH_2009	929	1	21	1	1	0
Parashewanella_spongiae_strain_HJ039	6072	1	22	7	7	1
Archaeoglobus_fulgidus_DSM_4304	2587	0	19	1	2	2
Mycobacterium_africanum_strain_UT307	4657	2	21	1	5	10
Staphylococcus_aureus_strain_USA300-SUR14	3239	1	21	5	3	5
Flavobacterium_sp._GS03	2736	1	21	3	3	6
Vibrio_sp._Q67	4605	1	22	2	5	4
Mycobacterium_sp._DSM_104308_strain_901379	5698	2	21	1	9	10
Shigella_flexneri_strain_201	5716	1	23	2	4	2
Methanopyrus_kandleri_AV19	1904	0	18	1	3	9
Streptococcus_mitis_17/34	1976	1	23	6	5	1
Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._14028S	5181	1	24	7	9	1
Salmonella_enterica_subsp._enterica_serovar_Birkenhead_strain_AUSMDU00010532	5440	1	23	0	9	1
Xanthomonas_citri_subsp._citri_strain_TX160197	5626	2	22	4	11	6
Legionella_pneumophila_strain_D-7630	3354	1	22	4	0	8
Acidianus_ambivalens_strain_LEI_10	3017	0	22	0	4	2
Pseudomonas_aeruginosa_PAO581	5804	2	22	2	2	10
Bordetella_pertussis_strain_I113	4376	3	21	1	2	1
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._SA20094389	4648	1	23	2	5	1
Vibrio_parahaemolyticus_strain_S107-1	5500	2	25	2	5	5
Bacillus_cereus_strain_G1-1	6328	1	33	14	7	23
Klebsiella_pneumoniae_strain_DHQP1002001	5922	1	25	2	11	10
Escherichia_coli_strain_S17-20	5696	1	23	2	5	1
Klebsiella_pneumoniae_strain_SB3432	5827	1	28	2	10	5
Bacillus_velezensis_strain_NJAU-Z9	4013	1	23	11	6	5
Bordetella_pertussis_strain_J323	4425	3	21	3	6	1
Rhodothermaceae_bacterium_RA	4378	2	23	1	11	8
Staphylococcus_aureus_strain_CFSAN007835	2764	1	21	6	8	1
Staphylococcus_aureus_subsp._aureus_strain_1625.CO1	3198	1	23	8	4	16
Lactobacillus_plantarum_strain_SRCM100438	3208	1	24	5	6	4
Nitratireductor_basaltis_strain_RR3-28	3633	3	22	2	6	2
Mycobacterium_tuberculosis_strain_FDAARGOS_750_strain_Not_applicable	4632	2	21	0	11	10
Listeria_monocytogenes_strain_2016TE340	3091	1	23	5	2	3
Enterobacter_kobei_strain_EB_P8_L5_01.19	5616	1	22	0	10	4
Legionella_adelaidensis_strain_NCTC12735	2052	1	18	2	7	1
Bacillus_megaterium_strain_Ni2-3	7207	1	25	3	10	7
Staphylococcus_epidermidis_strain_ATCC_12228	2728	1	21	4	4	4
Xanthomonas_citri_pv._phaseoli_var._fuscans_strain_CFBP6989	5080	2	22	4	13	8
Tetragenococcus_halophilus_strain_LMG_26042	3024	1	24	0	3	2
Streptococcus_pyogenes_strain_RLGH	2151	1	24	0	3	1
Bordetella_pertussis_strain_J270	4428	3	21	3	4	1
Leptospira_borgpetersenii_serovar_Hardjo_strain_NVSL_S_1343	5524	1	20	1	4	2
Sphingomonas_sp._JJ-A5	4376	3	17	1	7	4
Burkholderia_thailandensis_strain_2002721121	6941	2	24	2	9	10
Streptococcus_pneumoniae_G54	2311	1	23	3	2	3
Chlamydia_trachomatis_strain_SQ05	999	1	19	3	0	1
Staphylococcus_aureus_strain_TUM9463	3273	1	21	5	4	3
Campylobacter_jejuni_strain_NS4-9-1	1818	1	20	4	0	1
Mycobacterium_abscessus_strain_PAP161	1105	1	20	1	0	1
Klebsiella_pneumoniae_strain_CFSAN054110	6268	1	26	2	10	10
Klebsiella_pneumoniae_strain_675920	5906	1	25	2	11	5
Mycobacterium_tuberculosis_strain_LE371	4580	2	21	2	10	10
Pseudomonas_resinovorans_NBRC_106553	5988	2	22	2	11	5
Chlamydia_trachomatis_L1/440/LN	1010	1	19	1	0	1
archaeon_GW2011_AR20	1047	0	21	1	2	0
Yersinia_pestis_PBM19	4999	2	22	2	5	3
Helicobacter_pylori_26695	1851	1	21	3	1	1
Methylobacterium_oryzae_CBMB20	6068	2	24	2	9	6
Thiomicrorhabdus_sp._G1	2268	2	22	3	1	1
Brochothrix_thermosphacta_strain_BII	2739	1	22	8	2	1
Kocuria_sp._BT304	2557	2	21	4	4	1
Vibrio_harveyi_ATCC_BAA-1116_[PRJNA218471]	6036	2	27	2	8	3
Clostridiales_bacterium_CCNA10	4248	2	23	5	2	2
Bacteroides_pyogenes_DSM_20611	5131	1	23	2	10	1
Caulobacter_segnis_strain_TK0059	4515	2	21	3	11	18
Bordetella_pertussis_strain_H672	4426	3	21	3	5	1
Methylophilus_medardicus_strain_MMS-M-37	2579	1	22	0	0	2
Salmonella_enterica_subsp._enterica_strain_11A0003616	5532	1	24	0	7	2
Blastochloris_sp._GI	4159	1	22	2	5	3
Staphylococcus_aureus_subsp._aureus_ATCC_BAA-39	3137	1	21	2	3	6
Methanococcus_maripaludis_C7	1927	0	20	1	1	0
Mannheimia_haemolytica_strain_37778	2883	1	22	6	0	1
Pseudomonas_fluorescens_strain_PF08	5897	3	22	5	12	7
Bordetella_pertussis_strain_J225	4382	3	21	1	5	1
Corynebacterium_diphtheriae_HC01	2473	2	20	1	4	1
Weissella_koreensis_strain_WiKim0080	1611	1	23	1	0	0
Bordetella_bronchiseptica_strain_D987	5098	2	21	0	8	3
Corynebacterium_ulcerans_strain_131001	2542	1	20	5	3	1
Prevotella_melaninogenica_strain_FDAARGOS_306	2787	1	21	5	5	3
Raphidiopsis_curvata_NIES-932	3747	2	21	4	7	3
Thauera_aromatica_K172	3766	1	22	6	5	3
Erythrobacter_gangjinensis_strain_JCM_15420	2751	2	20	2	4	11
Xanthomonas_oryzae_pv._oryzae_strain_CFBP7322	5376	2	23	2	13	4
Shigella_flexneri_2a_strain_AUSMDU00010535	6244	1	22	0	6	3
Aquimarina_sp._AD10	5344	2	21	1	7	22
Lactobacillus_rhamnosus_strain_Pen	3192	1	22	3	2	8
Orientia_tsutsugamushi_str._Gilliam	3695	1	20	2	0	2
Cupriavidus_necator_strain_NH9	8173	4	22	6	12	7
Labrenzia_sp._THAF191a	7515	3	24	3	7	8
Bordetella_parapertussis_strain_H554	4771	2	21	3	8	3
Mycoplasma_pneumoniae_M29	900	2	21	1	1	0
Serratia_proteamaculans_568	5079	1	24	2	12	7
Clostridium_baratii_strain_CDC51267	3175	1	26	13	4	3
Escherichia_coli_strain_AR_0149	5348	1	23	2	10	3
Staphylococcus_epidermidis_strain_NCCP_16829	2556	1	21	6	2	4
Klebsiella_pneumoniae_subsp._pneumoniae_Kp13	5621	1	25	2	12	8
Burkholderia_ubonensis_strain_MSMB2152WGS	6701	3	27	2	11	7
Enterobacter_cloacae_strain_R11	5075	1	23	2	7	6
Bacillus_velezensis_strain_UTB96	3957	1	25	10	4	5
Enterobacter_aerogenes_KCTC_2190	5155	1	26	2	11	8
Lactobacillus_sakei_strain_ZFM220	2134	1	23	1	2	3
Escherichia_coli_55989	5203	1	23	3	3	1
Escherichia_coli_strain_90-9269	5631	1	23	9	4	1
Pseudomonas_aeruginosa_strain_AR_0360	6291	2	22	6	9	10
Bordetella_pertussis_strain_I730	4383	3	21	1	4	1
Lactobacillus_plantarum_subsp._plantarum_strain_TS12	3837	1	25	2	3	3
Neisseria_gonorrhoeae_21283	2776	1	22	7	3	5
Syntrophothermus_lipocalidus_DSM_12680	2504	2	21	1	2	3
Listeria_monocytogenes_strain_A144	3015	1	23	3	4	3
Rahnella_aquatilis_strain_KM05	4923	1	22	0	9	5
Chlamydia_trachomatis_strain_E-160	1013	1	19	3	1	1
Deinococcus_radiodurans_R1	3332	1	25	1	5	9
Gardnerella_vaginalis_strain_GV37	1658	1	19	3	3	0
Wolbachia_endosymbiont_of_Cimex_lectularius_wCle	1573	1	20	1	1	0
Pseudomonas_amygdali_pv._lachrymans_strain_NM002	6057	2	24	4	6	8
Salmonella_enterica_subsp._enterica_serovar_Infantis_strain_TR01	5302	1	24	3	8	1
Bordetella_petrii_DSM_12804	5109	2	21	1	8	4
Pseudomonas_aeruginosa	6382	2	22	6	8	12
Burkholderia_pseudomallei_strain_Yap1	7756	2	25	4	8	7
Streptococcus_pyogenes_strain_5448	1961	1	24	8	2	1
Enterobacter_asburiae_strain_ATCC_35953	5088	1	22	2	11	5
Mycobacterium_tuberculosis_PanR1006	4496	2	21	1	8	10
Staphylococcus_aureus_strain_O55_strain_B118	2859	1	21	4	6	5
Salmonella_enterica_subsp._enterica_serovar_Enteritidis	4920	2	24	2	4	1
Brevibacterium_linens_strain_962_8	3996	1	23	5	5	2
Gardnerella_vaginalis_strain_FDAARGOS_568_strain_Not_applicable	1567	1	19	0	4	0
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20121176	4619	1	24	2	5	1
Salmonella_enterica_subsp._enterica_serovar_Typhi_strain_311189_202186	5500	1	24	7	10	2
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._SA19983126	4648	1	23	2	4	1
Escherichia_coli_strain_AR_Bank_0349	5513	1	23	0	7	5
Yersinia_enterocolitica_(type_O:3)_str._YE12/03	4746	1	23	8	13	6
Desulfurococcus_kamchatkensis_1221n	1575	0	20	1	1	1
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._SA19970510	4692	1	23	2	3	1
Bacteroides_dorei_strain_HS1_L_3_B_079	4720	1	21	1	12	5
Burkholderia_pseudomallei_strain_vgh16W	7548	2	24	2	12	7
NA	210	2	6	1	0	0
Bifidobacterium_longum_subsp._longum_KACC_91563	2287	1	19	4	5	0
Stx_converting_phage_vB_EcoS_P27	4153	0	22	1	6	3
Enterococcus_faecium_strain_E4438	3273	1	24	6	4	2
Escherichia_coli_strain_NCTC11104	4773	1	24	8	10	4
Salmonella_enterica_subsp._enterica_serovar_Kentucky_strain_K13SK002	5274	1	24	1	6	2
Sodalis_endosymbiont_of_Henestaris_halophilus_strain_HBA	2480	1	22	2	2	0
Neisseria_meningitidis_2000063	2985	1	21	6	0	0
Escherichia_coli_str._K-12_substr._MG1655	4668	1	23	2	8	1
Streptococcus_pneumoniae_strain_KK0381	3359	1	24	7	1	3
Sulfolobus_acidocaldarius_strain_Y14_16-22	3096	0	22	2	2	3
Mycobacterium_tuberculosis_variant_bovis_strain_Danish_delta-sapM	4493	2	22	1	7	10
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20120687	4653	1	23	2	8	1
Achromobacter_agilis_strain_LMG_3411	3821	1	25	4	11	4
Pseudomonas_aeruginosa_strain_1	7982	2	23	4	10	14
Klebsiella_pneumoniae_subsp._pneumoniae_strain_ARLG-3135	5956	1	27	0	8	8
Enterococcus_faecium_strain_E7171	3626	1	24	6	5	2
Burkholderia_pseudomallei_MSHR491	7715	2	24	6	7	7
Pasteurella_multocida_subsp._multocida_OH4807	2184	1	22	2	1	0
Listeria_welshimeri_serovar_6b_str._SLCC5334	2872	1	23	2	8	4
Corynebacterium_flavescens_strain_OJ8	2777	2	22	3	3	1
Burkholderia_pseudomallei_strain_BPs111	7592	2	26	4	13	7
Neokomagataea_tanensis_strain_AH13_=_NBRC_106556	2625	1	20	3	2	3
Streptococcus_pneumoniae_strain_2245STDY5868782_strain_GPSC58	3194	1	23	1	2	3
Streptococcus_pneumoniae_strain_2245STDY5562629_strain_GPSC97	3186	1	24	1	2	3
Bordetella_pertussis_strain_J683	4441	3	21	3	6	1
Streptococcus_gordonii_strain_NCTC7865	2256	1	24	7	1	2
Acinetobacter_baumannii_ACICU	4016	1	21	6	7	6
Lactobacillus_plantarum_DOMLa	3229	1	24	7	4	3
Staphylococcus_aureus_strain_CFBR-105	2980	1	21	8	4	2
Bacillus_licheniformis_strain_14ADL4	4901	2	26	10	7	8
Bordetella_parapertussis_strain_I301	4770	2	21	3	7	3
Salmonella_enterica_strain_FDAARGOS_687_strain_Not_applicable	5500	1	23	0	8	2
Buchnera_aphidicola_str._TLW03_(Acyrthosiphon_pisum)	689	1	24	1	0	0
Lactococcus_lactis_subsp._lactis_CV56	2733	1	23	2	3	1
Lactobacillus_fermentum_strain_LDTM_7301	2478	1	22	6	1	2
Burkholderia_territorii_strain_MSMB2203WGS	6872	2	24	8	8	7
Serratia_marcescens_strain_CAV1761	6344	1	24	2	7	14
Mycobacterium_tuberculosis_RGTB327	6053	7	25	1	7	11
[Haemophilus]_ducreyi_strain_Cutaneous_leg_ulcer_strain_5	1727	1	22	2	0	0
Cycloclasticus_sp._PY97N	2460	1	21	3	3	3
Bacillus_subtilis_strain_SRCM103637	4545	1	25	9	12	4
Aeromonas_hydrophila_strain_D4	5274	1	26	2	12	4
Streptomyces_sp._CdTB01	9910	3	26	1	8	21
Pseudomonas_aeruginosa	7171	2	22	2	6	13
Acinetobacter_baumannii_ABUH514288	3489	1	21	10	6	6
Helicobacter_pylori_SouthAfrica20	1877	1	21	1	2	0
Legionella_pneumophila_strain_ST23	3425	1	22	4	5	8
Staphylococcus_lugdunensis_strain_NCTC12217	2535	1	22	7	1	1
Bordetella_pertussis_strain_E602	4388	3	21	1	3	1
Lactobacillus_nenjiangensis_strain_SH-Y15	2674	1	21	3	3	3
Acinetobacter_baumannii_strain_P7774	4636	1	21	6	6	8
Mannheimia_haemolytica_strain_1373	3205	1	22	6	3	3
Shewanella_baltica_BA175	4707	1	23	14	3	7
Pseudomonas_aeruginosa_strain_12939	6492	2	22	6	10	12
Lactobacillus_plantarum_strain_LZ95	3458	1	25	2	8	3
Aeromonas_dhakensis_strain_KN-Mc-6U21	4744	1	25	2	3	4
Bradymonas_sp._YN101	6647	3	23	3	5	6
Streptococcus_anginosus_subsp._whileyi_MAS624	2306	1	24	3	5	2
Lactococcus_sp._1JSPR-7	3015	1	24	0	2	1
Mycobacterium_avium_subsp._paratuberculosis_strain_MAPK_CN4/13	4852	2	21	0	10	9
Buchnera_aphidicola_str._Bp_(Baizongia_pistaciae)	585	1	21	1	1	0
Salmonella_enterica_subsp._enterica_serovar_Borreze_str._SA20041063_strain_SA20041063	5178	1	23	2	4	1
Fusobacterium_hwasookii_ChDC_F174	2539	1	23	2	0	1
Bordetella_pertussis_strain_J169	4369	3	21	1	6	1
Enterobacter_hormaechei_strain_C44	5018	1	23	0	7	7
Bacillus_cereus_strain_AR156	6178	1	32	16	8	26
Corynebacterium_pseudotuberculosis_strain_38	2384	1	20	1	1	1
Edwardsiella_piscicida_strain_RSB1309	2103	1	25	7	0	2
Ralstonia_solanacearum_strain_T110	7122	5	34	2	8	4
Bacillus_cohnii_strain_DSM_6307	5414	1	26	11	14	7
Helicobacter_pylori_strain_PNG84A	1628	1	20	1	1	0
Spiroplasma_litorale_strain_TN-1	1330	1	20	2	0	1
Lactobacillus_johnsonii_strain_UMNLJ22	2444	2	22	2	0	4
Deinococcus_sp._17bor-2	3162	1	22	4	7	7
Curtobacterium_sp._SGAir0471_strain_not_applicable	3502	2	21	3	6	5
Escherichia_coli_strain_SJ7	4607	1	19	0	6	1
Bacillus_thuringiensis_strain_YC-10	7751	1	34	15	5	19
Glaciecola_sp._THG-3.7	4072	2	20	3	5	14
Mycobacterium_tuberculosis_strain_GG-186-10	4673	2	21	1	6	10
Clostridium_botulinum_A_str._ATCC_19397	3688	1	26	2	7	4
Bacillus_cereus_biovar_anthracis_str._CI	6033	1	36	2	15	20
Helicobacter_pylori_strain_G-Mx-2005-337	1912	2	22	0	1	0
Enterobacter_ludwigii_strain_I42	4663	1	23	1	6	4
Stenotrophomonas_rhizophila_strain_QL-P4	3845	2	22	4	5	6
Gemella_sanguinis_strain_FDAARGOS_742_strain_Not_applicable	1871	1	21	0	1	1
Escherichia_coli_strain_NCTC9082	5317	1	23	7	13	1
Methylomicrobium_alcaliphilum_strain_20Z	4267	1	22	1	5	4
Xanthomonas_hortorum_strain_VT106	5338	2	22	2	15	5
Bordetella_pertussis_strain_I755	4394	3	21	1	4	1
Bordetella_holmesii_strain_H807	4077	2	21	3	3	1
Thermosipho_sp._1063	2110	1	23	4	3	0
Bacillus_velezensis_strain_QST713	4591	1	24	10	4	5
Bifidobacterium_animalis_strain_MGYG-HGUT-02459	1766	2	19	5	7	0
Paracoccus_sp._Arc7-R13	4253	2	20	0	6	5
Lactobacillus_paracasei_strain_LC355	3700	1	22	7	2	8
Legionella_pneumophila_strain_D-7632	3341	1	22	4	3	8
Baekduia_soli_strain_BR7-21	5502	2	21	0	9	1
Mycobacterium_smegmatis_str._MC2_155	7037	2	21	1	9	15
Cobetia_sp._ICG0124	3204	1	22	0	2	2
Klebsiella_pneumoniae_strain_NKU_KlebA1	6361	1	28	0	9	7
Vibrio_cholerae_strain_3569-08	4094	1	23	5	5	3
Enterococcus_faecium_strain_AUSMDU00004142	3589	2	23	9	5	3
Tenacibaculum_sp._LPB0136	2829	1	22	1	2	3
Escherichia_coli_strain_K-15KW01	5400	1	24	2	7	3
Klebsiella_pneumoniae_strain_Kp589	6187	1	28	2	11	9
Escherichia_coli_O113:H21_strain_FWSEC0011	5831	1	24	0	10	1
Clostridium_botulinum_strain_CDC_67071	4370	1	26	11	7	10
Chlamydia_psittaci_strain_AMK	1086	1	19	1	0	1
Bordetella_bronchiseptica_strain_A345	5156	2	21	0	3	3
Streptococcus_pyogenes_strain_emm123	1857	1	23	0	1	1
Pseudomonas_sp._SWI44	5853	2	21	9	10	6
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._SA20093788	4636	1	23	2	7	1
Xanthomonas_citri_pv._glycines_strain_1018	5066	2	22	2	16	6
Helicobacter_pylori_G27	1714	1	20	1	0	0
Treponema_pallidum_str._Fribourg-Blanc	1125	1	20	1	1	1
Brucella_melitensis_strain_BwIM_TUR_59	3691	2	20	1	5	3
Thermocrinis_albus_DSM_14484	1642	1	21	1	0	0
Staphylococcus_aureus_strain_NCTC4137	2756	1	21	5	3	4
Escherichia_coli_PCN061	5327	1	23	9	5	2
Porphyromonas_asaccharolytica_DSM_20707	1713	1	21	1	5	0
Arthrospira_platensis_C1	7660	3	25	3	10	8
Lactobacillus_delbrueckii_subsp._delbrueckii_strain_TUA4408L	2314	1	23	3	1	5
NA	198	1	6	1	0	0
Mannheimia_succiniciproducens_MBEL55E	2260	1	22	2	0	0
Wolbachia_endosymbiont_of_Trichogramma_pretiosum_strain_wTpre	1480	1	20	2	0	0
Salmonella_enterica_subsp._enterica_serovar_Paratyphi_A_strain_A61-139	5116	1	23	8	7	1
Sulfolobus_islandicus_M.16.2	3622	0	24	2	5	3
Burkholderia_pseudomallei_strain_2002721184	7995	2	24	3	8	7
NA	1190	1	21	1	1	1
Escherichia_coli_strain_U15A	5325	1	22	7	6	1
Staphylococcus_aureus_strain_NRS384	3147	1	21	6	3	4
Pseudomonas_alcaligenes_strain_NEB_585	4205	3	21	2	4	6
Staphylococcus_aureus_strain_IT1-S	3070	1	21	8	2	2
Bordetella_pertussis_strain_H849	4381	3	21	1	3	1
Aquimarina_sp._AD1	4865	2	21	4	4	25
Mycobacterium_tuberculosis_strain_MDRDM1098	4583	2	21	2	8	10
Klebsiella_pneumoniae_strain_KPN1344	5699	1	25	0	5	8
Brucella_melitensis_strain_BwIM_IRN_28	3690	2	20	1	3	3
Campylobacter_jejuni_subsp._jejuni_F38011	1888	1	20	1	3	1
Pediococcus_damnosus_strain_TMW_2.1533	2634	1	22	6	2	2
Exiguobacterium_sibiricum_255-15	3197	1	24	2	4	1
Staphylococcus_aureus_strain_UTSW_MRSA_55	3409	1	22	6	1	25
Bacillus_subtilis_subsp._subtilis_strain_168G	4635	1	25	8	6	4
Streptomyces_sp._Tue_6075	7441	2	22	1	10	9
Thermotoga_petrophila_RKU-1	1890	1	22	2	5	2
NA	211	1	4	1	0	0
Lysinibacillus_sp._Marseille-P5727	4266	2	25	20	6	4
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._SA20095309	4648	1	23	2	2	1
Mycoplasma_pneumoniae_strain_S355	888	1	21	1	1	0
Labrenzia_sp._PHM005	6123	2	23	2	7	5
NA	3134	1	25	2	3	1
Pseudomonas_sp._ACM7	6801	2	23	1	11	10
Mycobacterium_tuberculosis_10532-05	4492	2	21	1	5	10
Corynebacterium_testudinoris_strain_DSM_44614	2721	2	19	5	5	3
Acetobacter_senegalensis_strain_108B	7935	2	25	0	5	18
Francisella_sp._MA06-7296_strain_VA14-2155	1916	1	21	1	3	2
Salmonella_enterica_subsp._enterica_serovar_Typhi_strain_311189_252186	5476	1	24	7	13	2
Bacteroides_fragilis_strain_CCUG4856T	5020	1	21	0	5	4
Brevibacterium_casei_CIP_102111	2476	1	32	7	2	7
Slackia_heliotrinireducens_DSM_20476	2879	1	22	1	3	1
Murdochiella_sp._Marseille-P2341	1603	1	23	5	3	2
Bacillus_thuringiensis_strain_CTC	5806	1	32	12	8	24
Escherichia_coli_strain_CCUG_70745	5843	1	24	2	9	6
Escherichia_coli_strain_NCTC9112	5832	3	25	7	9	1
Capnocytophaga_haemolytica_strain_CCUG_32990	2631	1	22	2	3	5
Streptococcus_pyogenes_HKU_QMH11M0907901	2063	1	23	3	3	1
Escherichia_coli_strain_MNCRE44	5734	1	23	2	8	7
Pseudomonas_aeruginosa_strain_Ocean-1155	6918	2	23	2	7	10
Microlunatus_phosphovorus_NM-1	5346	2	23	1	4	7
Legionella_pneumophila_subsp._pneumophila_strain_FFI102	3475	1	23	4	5	5
Chloroflexus_aggregans_DSM_9485	4028	1	23	1	8	5
Nitrosomonas_eutropha_C91	3104	1	21	1	3	4
Bordetella_pertussis_strain_J107	4384	3	21	1	6	1
Staphylococcus_aureus_strain_P10	3567	1	22	1	4	9
Campylobacter_pinnipediorum_subsp._pinnipediorum_strain_RM17262	1749	1	21	4	3	0
Bacillus_thuringiensis_serovar_coreanensis_strain_ST7	7204	1	36	16	9	23
Acinetobacter_nosocomialis_strain_6411	3995	1	21	2	2	5
Bacillus_subtilis_strain_ATCC_21228	5029	1	25	7	11	5
Brucella_melitensis_strain_BwIM_JOR_13	3695	2	20	1	2	3
Chitinophaga_sp._T22	2295	2	17	1	4	8
Escherichia_coli_strain_132	6309	1	24	0	8	1
Methanocaldococcus_vulcanius_M7	1823	0	18	1	0	1
Bacillus_cereus_strain_AFS032151	1183	2	41	2	1	1
Escherichia_coli_strain_Co6114	5658	1	23	2	11	7
Deinococcus_deserti_VCD115	3667	2	24	1	8	9
Desulfotomaculum_reducens_MI-1	3749	1	25	2	13	2
Propionibacterium_freudenreichii_strain_PFRJS12-3	31	0	0	0	0	0
Staphylococcus_aureus_strain_UP_274	2942	1	21	6	3	15
Planctomycetes_bacterium_Enr10	7704	1	21	2	5	9
Haemophilus_sp._C1	2400	2	20	0	3	2
Leptospira_interrogans_strain_R17	5020	1	20	0	5	1
Staphylococcus_aureus_strain_AR_0216	3076	1	21	8	4	7
Neisseria_gonorrhoeae_strain_FQ01	3143	1	23	0	1	0
Escherichia_coli_strain_2013C-3181	5445	1	23	9	6	1
Cronobacter_sakazakii_ES15	4096	1	23	2	6	2
Wolbachia_endosymbiont_of_Carposina_sasakii_strain_wCauA	1901	1	20	1	0	0
Bacillus_xiamenensis_strain_VV3	4213	1	24	8	6	2
Shewanella_oneidensis_MR-1	4917	1	23	4	5	5
Halorubrum_ezzemoulense_strain_Fb21	4412	0	21	2	7	1
Escherichia_coli_strain_CFSAN029787	5952	1	23	2	5	1
Staphylococcus_aureus_strain_NCTC13395	2980	1	21	8	5	6
